ABF IBI Fund;Indeks & ETF;35698.9319;-0.49;9.63;-0.59;30.98
AXA Citradinamis;Saham;5354.84;-8.54;8.09;-6.32;25.1
AXA MaestroObligasi Plus;Pendapatan Tetap;1454.4489;-0.46;8.6;-0.23;30.75
AXA Maestrosaham;Saham;1417.09;-8.29;10.69;-5.89;0
Aberdeen Dana Pendapatan Riil;Pendapatan Tetap;1356.96;-0.17;7.19;0.58;0
Aberdeen Dana Pendapatan Stab;Pendapatan Tetap;1068.03;-0.67;0.2;-0.38;-4.69
Aberdeen Indonesia Balanced Growth Fund;Campuran;1819.43;-4.09;4.87;-3.72;22.48
Aberdeen Indonesia Bond Fund;Pendapatan Tetap;2049.92;-0.51;7.71;-0.28;38.92
Aberdeen Indonesia Equity Fund;Saham;1921.3451;-5.67;1.81;-5.2;11.13
Aberdeen Indonesia Government;Pendapatan Tetap;1814.24;-0.79;7.44;-1.35;31.05
Aberdeen Indonesia Money Market Fund;Pasar Uang;1274.3;0.32;4.4;0.9;26.11
Aberdeen Proteksi Income Plus XV;Terproteksi;950.48;0.36;-1.02;0.79;-5.11
Aberdeen Proteksi Income Plus XVII;Terproteksi;856.04;-2.34;1.66;-1.5;0
Aberdeen Proteksi Income Reguler;Terproteksi;1017.2;0.11;0;0.9;0
Aberdeen Syariah Proteksi Insha 1;Terproteksi;1034.5;0.28;3.4;0.4;0
Archipelago Balance Fund;Campuran;1414.88;0.09;13.73;10.73;36.59
Archipelago Equity Growth;Saham;1861.71;-1.5;10.09;17.14;35.07
Archipelago Kadima Balance Fund;Campuran;1177.73;-5.18;0;12.46;0
Archipelago Metro Harmoni Balance;Campuran;1046.7694;-5.8;0;3.81;0
Archipelago Mitra Mandiri Fixed Income;Pendapatan Tetap;783.6659;-0.23;0;0;0
Archipelago Mitra Maxima Ekuitas;Saham;1090.4069;-2.8;0;0;0
Archipelago Money Market Fund;Pasar Uang;1025.1433;0.37;0;1.17;0
Archipelago Profit Global Balance Fund;Campuran;1110.39;-4.61;0;4.87;0
Archipelago Sukuk Syariah I;Pendapatan Tetap;1092.6148;-0.2;5.25;-1.73;0
Asanusa Amanah Syariah Fund;Campuran;2757.4658;-4.29;4.42;-1.53;25.22
Asanusa Balanced Fund;Campuran;1453.4096;-2.63;-6.52;-2.47;-61.63
Asanusa Blue Chip Value Fund 2;Saham;1274.2437;0;0;0;18.36
Asanusa Dynamic Protected Fund;Terproteksi;938.433;-0.94;3.52;-2.41;0
Asanusa Enhanced Strategy Fund;Saham;1348.3158;-5.34;10.28;2.65;33.51
Asanusa Optimal Income Fund;Pendapatan Tetap;1095.7001;0;2.96;0;4.1
Asanusa Strategic Income Fund;Pendapatan Tetap;1120.9396;-1.06;4.86;-2;0
Asanusa Supreme Bond Investment;Terproteksi;811.82;-0.41;2.41;-0.2;0
Asanusa Treasury Money Fund;Pasar Uang;1074.8583;0.23;4.03;0.56;0
Ascend Dana Lancar;Pasar Uang;1015.5914;0.47;0;1.33;0
Ashmore Dana Ekuitas Nusantara;Saham;1580.28;-6.81;11.8;-1.69;50.38
Ashmore Dana Obligasi Nusantara;Pendapatan Tetap;1318.28;-0.68;7.75;-1.9;0
Ashmore Dana Obligasi Unggulan;Pendapatan Tetap;1012.11;-0.08;0;0.61;0
Ashmore Dana Pasar Uang Nusantara;Pasar Uang;1043.98;0.22;2.46;0.5;0
Ashmore Dana Progresif Nusantara;Saham;1678.4;-6.93;8.57;2.51;55.8
Ashmore Dana Terproteksi Nusantara;Terproteksi;1183.33;0.55;7.43;1.66;0
Ashmore Dana USD Equity Nusantara;Saham;1.2648;-9.06;12.71;-0.87;0
Ashmore Dana USD Nusantara;Pendapatan Tetap;1.1856;-0.18;0.59;-2.48;0
Ashmore Saham Sejahtera Nusantara;Saham;1055.58;-7.9;0;-1.27;0
Asia Raya Syariah Berimbang Pemberdayaan Ekonomi Umat;Campuran;839.048;-5.95;0;-14.46;0
Asia Raya Syariah Taktis Berimbang;Campuran;908.6513;-8.27;-10.32;-5.96;0
Aurora Dana Ekuitas;Saham;967.8565;-6.48;0;-3.12;0
Aurora Likuid;Pasar Uang;1002.4622;0.2;0;0;0
Avrist Ada Kas Intan;Pasar Uang;1005.76;0;0;-0.08;0
Avrist Ada Kas Mutiara;Pasar Uang;1062.01;0.36;0;1.36;0
Avrist Ada Kas Syariah;Pasar Uang;1002.88;0.02;0;0.28;0
